iter	Passed	Remaining
1475	13247	215
1476	13256	206
1477	13265	197
1478	13273	188
1479	13282	179
1480	13290	170
1481	13300	161
1482	13309	152
1483	13318	143
1484	13325	134
1485	13334	125
1486	13343	116
1487	13352	107
1488	13359	98
1489	13368	89
1490	13377	80
1491	13388	71
1492	13404	62
1493	13487	54
1494	13497	45
1495	13508	36
1496	13516	27
1497	13525	18
1498	13532	9
1499	13539	0
