iter	Passed	Remaining
1238	9418	9585
1239	9423	9575
1240	9431	9567
1241	9438	9560
1242	9445	9551
1243	9451	9542
1244	9456	9532
1245	9466	9527
1246	9474	9519
1247	9482	9512
1248	9488	9503
1249	9494	9494
1250	9500	9485
1251	9505	9475
1252	9511	9466
1253	9518	9458
1254	9527	9451
1255	9535	9444
1256	9542	9436
1257	9550	9428
1258	9557	9420
1259	9563	9412
1260	9571	9404
1261	9577	9395
1262	9584	9387
1263	9593	9380
1264	9599	9372
1265	9607	9364
1266	9615	9357
1267	9622	9349
1268	9628	9339
1269	9636	9332
1270	9643	9325
1271	9651	9317
1272	9657	9308
1273	9665	9301
1274	9672	9293
1275	9679	9285
1276	9687	9277
1277	9693	9269
1278	9702	9262
1279	9709	9254
1280	9718	9247
1281	9726	9240
1282	9734	9233
1283	9743	9227
1284	9751	9219
1285	9759	9212
1286	9767	9205
1287	9775	9198
1288	9783	9191
1289	9789	9182
1290	9797	9174
1291	9804	9167
1292	9813	9160
1293	9819	9151
1294	9826	9143
1295	9834	9136
1296	9841	9128
1297	9849	9121
1298	9857	9113
1299	9864	9105
1300	9870	9096
1301	9877	9088
1302	9885	9080
1303	9892	9073
1304	9900	9066
1305	9906	9057
1306	9914	9050
1307	9922	9042
1308	9931	9035
1309	9938	9028
1310	9948	9022
1311	9955	9014
1312	9963	9007
1313	9970	8999
1314	9979	8992
1315	9987	8985
1316	9995	8978
1317	10004	8971
1318	10012	8964
1319	10019	8957
1320	10027	8949
1321	10035	8942
1322	10043	8935
1323	10051	8927
1324	10058	8919
1325	10066	8912
1326	10074	8905
1327	10082	8897
1328	10089	8890
1329	10098	8883
1330	10105	8875
1331	10114	8868
1332	10121	8861
1333	10129	8854
1334	10137	8846
1335	10144	8838
1336	10151	8830
1337	10158	8822
1338	10166	8815
1339	10175	8808
1340	10182	8800
1341	10190	8792
1342	10197	8785
1343	10206	8778
1344	10212	8769
1345	10219	8761
1346	10227	8754
1347	10235	8746
1348	10243	8740
1349	10250	8732
1350	10258	8724
1351	10267	8717
1352	10274	8710
1353	10282	8702
1354	10289	8694
1355	10297	8687
1356	10306	8680
1357	10313	8672
1358	10321	8665
1359	10328	8657
1360	10334	8648
1361	10342	8641
1362	10349	8633
1363	10357	8625
1364	10364	8618
1365	10371	8610
1366	10381	8604
1367	10389	8597
1368	10396	8589
1369	10402	8580
1370	10410	8572
1371	10417	8564
1372	10424	8556
1373	10432	8549
1374	10440	8542
1375	10448	8534
1376	10454	8526
1377	10462	8518
1378	10470	8511
1379	10477	8503
1380	10485	8496
1381	10493	8488
1382	10501	8481
1383	10508	8473
1384	10516	8466
1385	10523	8457
1386	10530	8450
1387	10537	8442
1388	10544	8434
1389	10551	8425
